Statistik;Gebiet;Schulart_1;Schulart_2;Jahr;Masseinheit;Ausgaben_je_Schueler;Anmerkung
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Berufliche Schulen;darunter: Berufsschulen im dualen System;2023;Euro;4000;-
Bildungsberichterstattung für nationale Zwecke;Saarland;Berufliche Schulen;darunter: Berufsschulen im dualen System;2023;Euro;4400;-
Bildungsberichterstattung für nationale Zwecke;Sachsen;Berufliche Schulen;darunter: Berufsschulen im dualen System;2023;Euro;4600;-
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt;Berufliche Schulen;darunter: Berufsschulen im dualen System;2023;Euro;3900;-
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Berufliche Schulen;darunter: Berufsschulen im dualen System;2023;Euro;5200;-
Bildungsberichterstattung für nationale Zwecke;Thüringen;Berufliche Schulen;darunter: Berufsschulen im dualen System;2023;Euro;5500;-
Bildungsberichterstattung für nationale Zwecke;Deutschland;Berufliche Schulen;darunter: Berufsschulen im dualen System;2023;Euro;4400;-
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Alle Schularten;Insgesamt;2023;Euro;9500;-
Bildungsberichterstattung für nationale Zwecke;Bayern;Alle Schularten;Insgesamt;2023;Euro;11200;-
Bildungsberichterstattung für nationale Zwecke;Berlin;Alle Schularten;Insgesamt;2023;Euro;13500;-
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Alle Schularten;Insgesamt;2023;Euro;9800;-
Bildungsberichterstattung für nationale Zwecke;Bremen;Alle Schularten;Insgesamt;2023;Euro;9800;-
Bildungsberichterstattung für nationale Zwecke;Hamburg;Alle Schularten;Insgesamt;2023;Euro;12200;-
Bildungsberichterstattung für nationale Zwecke;Hessen;Alle Schularten;Insgesamt;2023;Euro;9500;-
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Alle Schularten;Insgesamt;2023;Euro;9200;-
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Alle Schularten;Insgesamt;2023;Euro;9500;-
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Alle Schularten;Insgesamt;2023;Euro;8900;-
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Alle Schularten;Insgesamt;2023;Euro;9000;-
Bildungsberichterstattung für nationale Zwecke;Saarland;Alle Schularten;Insgesamt;2023;Euro;9500;-
Bildungsberichterstattung für nationale Zwecke;Sachsen;Alle Schularten;Insgesamt;2023;Euro;9300;-
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt;Alle Schularten;Insgesamt;2023;Euro;8900;-
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Alle Schularten;Insgesamt;2023;Euro;9400;-
Bildungsberichterstattung für nationale Zwecke;Thüringen;Alle Schularten;Insgesamt;2023;Euro;10200;-
Bildungsberichterstattung für nationale Zwecke;Deutschland;Alle Schularten;Insgesamt;2023;Euro;9800;-
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Allgemeinbildende Schulen;Insgesamt;2024;Euro;10700;p
Bildungsberichterstattung für nationale Zwecke;Bayern;Allgemeinbildende Schulen;Insgesamt;2024;Euro;12800;p
Bildungsberichterstattung für nationale Zwecke;Berlin;Allgemeinbildende Schulen;Insgesamt;2024;Euro;14600;p
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Allgemeinbildende Schulen;Insgesamt;2024;Euro;11500;p
Bildungsberichterstattung für nationale Zwecke;Bremen;Allgemeinbildende Schulen;Insgesamt;2024;Euro;12100;p
Bildungsberichterstattung für nationale Zwecke;Hamburg;Allgemeinbildende Schulen;Insgesamt;2024;Euro;14300;p
Bildungsberichterstattung für nationale Zwecke;Hessen;Allgemeinbildende Schulen;Insgesamt;2024;Euro;11200;p
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Allgemeinbildende Schulen;Insgesamt;2024;Euro;10700;p
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Allgemeinbildende Schulen;Insgesamt;2024;Euro;11300;p
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Allgemeinbildende Schulen;Insgesamt;2024;Euro;10300;p
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Allgemeinbildende Schulen;Insgesamt;2024;Euro;10200;p
Bildungsberichterstattung für nationale Zwecke;Saarland;Allgemeinbildende Schulen;Insgesamt;2024;Euro;11000;p
Bildungsberichterstattung für nationale Zwecke;Sachsen;Allgemeinbildende Schulen;Insgesamt;2024;Euro;10600;p
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt;Allgemeinbildende Schulen;Insgesamt;2024;Euro;9800;p
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Allgemeinbildende Schulen;Insgesamt;2024;Euro;10700;p
Bildungsberichterstattung für nationale Zwecke;Thüringen;Allgemeinbildende Schulen;Insgesamt;2024;Euro;10800;p
Bildungsberichterstattung für nationale Zwecke;Deutschland;Allgemeinbildende Schulen;Insgesamt;2024;Euro;11300;p
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Berufliche Schulen;Insgesamt;2024;Euro;8500;p
Bildungsberichterstattung für nationale Zwecke;Bayern;Berufliche Schulen;Insgesamt;2024;Euro;8300;p
