region_code;jahr;abschluss_key;geschlecht;anzahl
01053;2023;mit_hauptschulabschluss;weiblich;138
01053;2023;mit_hauptschulabschluss;maennlich;168
01053;2023;mittlerer_abschluss;insgesamt;573
01053;2023;mittlerer_abschluss;weiblich;282
01053;2023;mittlerer_abschluss;maennlich;291
01053;2023;fachhochschulreife;insgesamt;
01053;2023;fachhochschulreife;weiblich;
01053;2023;fachhochschulreife;maennlich;
01053;2023;allgemeine_hochschulreife;insgesamt;585
01053;2023;allgemeine_hochschulreife;weiblich;300
01053;2023;allgemeine_hochschulreife;maennlich;285
01054;2023;ohne_hauptschulabschluss;insgesamt;171
01054;2023;ohne_hauptschulabschluss;weiblich;48
01054;2023;ohne_hauptschulabschluss;maennlich;123
01054;2023;mit_hauptschulabschluss;insgesamt;369
01054;2023;mit_hauptschulabschluss;weiblich;141
01054;2023;mit_hauptschulabschluss;maennlich;228
01054;2023;mittlerer_abschluss;insgesamt;576
01054;2023;mittlerer_abschluss;weiblich;300
01054;2023;mittlerer_abschluss;maennlich;276
01054;2023;fachhochschulreife;insgesamt;
01054;2023;fachhochschulreife;weiblich;
01054;2023;fachhochschulreife;maennlich;
01054;2023;allgemeine_hochschulreife;insgesamt;375
01054;2023;allgemeine_hochschulreife;weiblich;219
01054;2023;allgemeine_hochschulreife;maennlich;156
01055;2023;ohne_hauptschulabschluss;insgesamt;171
01055;2023;ohne_hauptschulabschluss;weiblich;75
01055;2023;ohne_hauptschulabschluss;maennlich;96
01055;2023;mit_hauptschulabschluss;insgesamt;363
01055;2023;mit_hauptschulabschluss;weiblich;162
01055;2023;mit_hauptschulabschluss;maennlich;201
01055;2023;mittlerer_abschluss;insgesamt;513
01055;2023;mittlerer_abschluss;weiblich;267
01055;2023;mittlerer_abschluss;maennlich;246
01055;2023;fachhochschulreife;insgesamt;
01055;2023;fachhochschulreife;weiblich;
01055;2023;fachhochschulreife;maennlich;
01055;2023;allgemeine_hochschulreife;insgesamt;525
01055;2023;allgemeine_hochschulreife;weiblich;285
01055;2023;allgemeine_hochschulreife;maennlich;240
01056;2023;ohne_hauptschulabschluss;insgesamt;249
01056;2023;ohne_hauptschulabschluss;weiblich;108
01056;2023;ohne_hauptschulabschluss;maennlich;141
01056;2023;mit_hauptschulabschluss;insgesamt;543
01056;2023;mit_hauptschulabschluss;weiblich;231
01056;2023;mit_hauptschulabschluss;maennlich;312
01056;2023;mittlerer_abschluss;insgesamt;1080
01056;2023;mittlerer_abschluss;weiblich;543
01056;2023;mittlerer_abschluss;maennlich;537
01056;2023;fachhochschulreife;insgesamt;
01056;2023;fachhochschulreife;weiblich;
01056;2023;fachhochschulreife;maennlich;
01056;2023;allgemeine_hochschulreife;insgesamt;1017
01056;2023;allgemeine_hochschulreife;weiblich;525
01056;2023;allgemeine_hochschulreife;maennlich;492
01057;2023;ohne_hauptschulabschluss;insgesamt;90
01057;2023;ohne_hauptschulabschluss;weiblich;39
01057;2023;ohne_hauptschulabschluss;maennlich;51
01057;2023;mit_hauptschulabschluss;insgesamt;222
01057;2023;mit_hauptschulabschluss;weiblich;102
01057;2023;mit_hauptschulabschluss;maennlich;120
01057;2023;mittlerer_abschluss;insgesamt;357
01057;2023;mittlerer_abschluss;weiblich;177
01057;2023;mittlerer_abschluss;maennlich;180
01057;2023;fachhochschulreife;insgesamt;
01057;2023;fachhochschulreife;weiblich;
01057;2023;fachhochschulreife;maennlich;
01057;2023;allgemeine_hochschulreife;insgesamt;318
01057;2023;allgemeine_hochschulreife;weiblich;174
01057;2023;allgemeine_hochschulreife;maennlich;144
01058;2023;ohne_hauptschulabschluss;insgesamt;222
01058;2023;ohne_hauptschulabschluss;weiblich;93
01058;2023;ohne_hauptschulabschluss;maennlich;129
01058;2023;mit_hauptschulabschluss;insgesamt;381
01058;2023;mit_hauptschulabschluss;weiblich;153
01058;2023;mit_hauptschulabschluss;maennlich;228
01058;2023;mittlerer_abschluss;insgesamt;732
01058;2023;mittlerer_abschluss;weiblich;348
01058;2023;mittlerer_abschluss;maennlich;384
01058;2023;fachhochschulreife;insgesamt;
01058;2023;fachhochschulreife;weiblich;
01058;2023;fachhochschulreife;maennlich;
01058;2023;allgemeine_hochschulreife;insgesamt;777
01058;2023;allgemeine_hochschulreife;weiblich;393
01058;2023;allgemeine_hochschulreife;maennlich;384
01059;2023;ohne_hauptschulabschluss;insgesamt;189
01059;2023;ohne_hauptschulabschluss;weiblich;75
01059;2023;ohne_hauptschulabschluss;maennlich;114
01059;2023;mit_hauptschulabschluss;insgesamt;423
01059;2023;mit_hauptschulabschluss;weiblich;186
01059;2023;mit_hauptschulabschluss;maennlich;237
01059;2023;mittlerer_abschluss;insgesamt;648
01059;2023;mittlerer_abschluss;weiblich;324
01059;2023;mittlerer_abschluss;maennlich;324
01059;2023;fachhochschulreife;insgesamt;
01059;2023;fachhochschulreife;weiblich;
01059;2023;fachhochschulreife;maennlich;
01059;2023;allgemeine_hochschulreife;insgesamt;408
01059;2023;allgemeine_hochschulreife;weiblich;234
01059;2023;allgemeine_hochschulreife;maennlich;174
01060;2023;ohne_hauptschulabschluss;insgesamt;201
01060;2023;ohne_hauptschulabschluss;weiblich;81
01060;2023;ohne_hauptschulabschluss;maennlich;120
01060;2023;mit_hauptschulabschluss;insgesamt;507
01060;2023;mit_hauptschulabschluss;weiblich;204
01060;2023;mit_hauptschulabschluss;maennlich;303
01060;2023;mittlerer_abschluss;insgesamt;819
01060;2023;mittlerer_abschluss;weiblich;387
01060;2023;mittlerer_abschluss;maennlich;432
01060;2023;fachhochschulreife;insgesamt;
01060;2023;fachhochschulreife;weiblich;
01060;2023;fachhochschulreife;maennlich;
01060;2023;allgemeine_hochschulreife;insgesamt;891
01060;2023;allgemeine_hochschulreife;weiblich;495
01060;2023;allgemeine_hochschulreife;maennlich;396
01061;2023;ohne_hauptschulabschluss;insgesamt;123
