abgangsjahr;bundesland;abschluss;geschlecht;anzahl
2022;Hessen;allgemeine Hochschulreife;männlich;6880
2022;Hessen;allgemeine Hochschulreife;weiblich;8845
2022;Mecklenburg-Vorpommern;ohne Hauptschulabschluss;Insgesamt;1407
2022;Mecklenburg-Vorpommern;ohne Hauptschulabschluss;männlich;880
2022;Mecklenburg-Vorpommern;ohne Hauptschulabschluss;weiblich;527
2022;Mecklenburg-Vorpommern;Hauptschulabschluss;Insgesamt;1825
2022;Mecklenburg-Vorpommern;Hauptschulabschluss;männlich;1055
2022;Mecklenburg-Vorpommern;Hauptschulabschluss;weiblich;770
2022;Mecklenburg-Vorpommern;mittlerer Abschluss;Insgesamt;6121
2022;Mecklenburg-Vorpommern;mittlerer Abschluss;männlich;3182
2022;Mecklenburg-Vorpommern;mittlerer Abschluss;weiblich;2939
2022;Mecklenburg-Vorpommern;allgemeine Hochschulreife;Insgesamt;4553
2022;Mecklenburg-Vorpommern;allgemeine Hochschulreife;männlich;1920
2022;Mecklenburg-Vorpommern;allgemeine Hochschulreife;weiblich;2633
2022;Niedersachsen;ohne Hauptschulabschluss;Insgesamt;5086
2022;Niedersachsen;ohne Hauptschulabschluss;männlich;3029
2022;Niedersachsen;ohne Hauptschulabschluss;weiblich;2057
2022;Niedersachsen;Hauptschulabschluss;Insgesamt;10646
2022;Niedersachsen;Hauptschulabschluss;männlich;6303
2022;Niedersachsen;Hauptschulabschluss;weiblich;4343
2022;Niedersachsen;mittlerer Abschluss;Insgesamt;35699
2022;Niedersachsen;mittlerer Abschluss;männlich;18592
2022;Niedersachsen;mittlerer Abschluss;weiblich;17107
2022;Niedersachsen;allgemeine Hochschulreife;Insgesamt;24823
2022;Niedersachsen;allgemeine Hochschulreife;männlich;11028
2022;Niedersachsen;allgemeine Hochschulreife;weiblich;13795
2022;Nordrhein-Westfalen;ohne Hauptschulabschluss;Insgesamt;11385
2022;Nordrhein-Westfalen;ohne Hauptschulabschluss;männlich;7020
2022;Nordrhein-Westfalen;ohne Hauptschulabschluss;weiblich;4370
2022;Nordrhein-Westfalen;Hauptschulabschluss;Insgesamt;27905
2022;Nordrhein-Westfalen;Hauptschulabschluss;männlich;16490
2022;Nordrhein-Westfalen;Hauptschulabschluss;weiblich;11415
2022;Nordrhein-Westfalen;mittlerer Abschluss;Insgesamt;72080
2022;Nordrhein-Westfalen;mittlerer Abschluss;männlich;37185
2022;Nordrhein-Westfalen;mittlerer Abschluss;weiblich;34900
2022;Nordrhein-Westfalen;Fachhochschulreife;Insgesamt;35
2022;Nordrhein-Westfalen;Fachhochschulreife;männlich;15
2022;Nordrhein-Westfalen;Fachhochschulreife;weiblich;20
2022;Nordrhein-Westfalen;allgemeine Hochschulreife;Insgesamt;70570
2022;Nordrhein-Westfalen;allgemeine Hochschulreife;männlich;31275
2022;Nordrhein-Westfalen;allgemeine Hochschulreife;weiblich;39295
2022;Rheinland-Pfalz;ohne Hauptschulabschluss;Insgesamt;2881
2022;Rheinland-Pfalz;ohne Hauptschulabschluss;männlich;1795
