abschluss_key;label_regio;label_s09;label_statbericht;rang
ohne_hauptschulabschluss;ohne Hauptschulabschluss;ohne Ersten Schulabschluss;ohne Hauptschulabschluss;1
mit_hauptschulabschluss;mit Hauptschulabschluss;Erster Schulabschluss;Hauptschulabschluss;2
mittlerer_abschluss;mittlerer Abschluss;Mittlerer Schulabschluss;Mittlerer Abschluss;3
fachhochschulreife;Fachhochschulreife;Fachhochschulreife;(n/a);4
allgemeine_hochschulreife;allgemeine Hochschulreife;Allgemeine Hochschulreife;allgemeine Hochschulreife;5
